timestamp,productId,userId,sessionId,clientIp,userAgent
2026-01-30T13:41:33,100,,,0:0:0:0:0:0:0:1,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-01-30T13:43:42,100,,,0:0:0:0:0:0:0:1,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-01-30T13:48:01,100,,,0:0:0:0:0:0:0:1,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-01-30T14:53:42,99,,,0:0:0:0:0:0:0:1,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-01-30T14:55:01,100,,,0:0:0:0:0:0:0:1,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-01-30T14:55:03,100,,,0:0:0:0:0:0:0:1,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-01-30T15:01:37,91,,,0:0:0:0:0:0:0:1,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-01-30T16:11:18,99,,,0:0:0:0:0:0:0:1,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-01-30T17:54:13,91,,,0:0:0:0:0:0:0:1,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-01-30T18:10:42,91,,,0:0:0:0:0:0:0:1,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-01-30T18:12:56,32,,,0:0:0:0:0:0:0:1,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-01-30T18:13:06,32,,,0:0:0:0:0:0:0:1,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-01-30T18:13:08,91,,,0:0:0:0:0:0:0:1,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-01-30T18:13:10,91,,,0:0:0:0:0:0:0:1,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-01-30T18:13:14,99,,,0:0:0:0:0:0:0:1,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-01-30T18:13:18,91,,,0:0:0:0:0:0:0:1,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-01-30T18:13:19,99,,,0:0:0:0:0:0:0:1,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-01-30T18:13:23,4,,,0:0:0:0:0:0:0:1,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-01-30T18:14:31,80,,,0:0:0:0:0:0:0:1,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-01-30T18:16:43,80,,,0:0:0:0:0:0:0:1,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-01-30T18:18:07,91,,,0:0:0:0:0:0:0:1,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-01-30T18:21:16,91,,,0:0:0:0:0:0:0:1,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-01-30T18:44:24,97,,,0:0:0:0:0:0:0:1,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-01-30T18:44:27,97,,,0:0:0:0:0:0:0:1,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/144.0.0.0 Safari/537.36
